               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.035364,             0.03529,           0.0048149,             0.65122,             0.63791,             0.66781,             0.33893,            0.044269,            0.027412,            0.012407,             0.07075,             0.00325,             0.00325
                   1,            0.037315,            0.036195,           0.0048052,             0.61041,              0.6348,             0.63923,             0.29198,            0.046983,            0.027743,            0.012968,            0.040728,           0.0065616,           0.0065616
                   2,            0.041964,            0.035954,           0.0053965,               0.612,             0.59363,             0.60163,             0.27393,            0.047303,            0.028008,            0.012531,            0.010685,           0.0098512,           0.0098512
                   3,            0.043371,            0.039035,           0.0081233,               0.564,             0.57413,             0.58021,             0.26117,            0.049101,            0.028286,            0.021892,            0.009901,            0.009901,            0.009901
                   4,            0.043215,             0.03802,           0.0072151,             0.49718,             0.58959,             0.52518,             0.23717,             0.04956,            0.027863,            0.027648,            0.009901,            0.009901,            0.009901
                   5,            0.043422,            0.036477,           0.0078308,             0.53728,             0.58243,             0.56944,             0.25456,             0.04857,            0.027715,            0.014584,            0.009868,            0.009868,            0.009868
                   6,            0.043501,            0.039605,           0.0083587,             0.49988,             0.57387,             0.53192,             0.24297,            0.049441,            0.028432,            0.027899,            0.009835,            0.009835,            0.009835
                   7,            0.042094,            0.040122,            0.010229,             0.58718,             0.54684,             0.56377,              0.2684,            0.048393,            0.027464,            0.021692,            0.009802,            0.009802,            0.009802
                   8,            0.043493,            0.039249,           0.0087348,             0.60152,              0.5866,             0.60836,             0.28155,            0.046744,             0.02637,            0.016831,            0.009769,            0.009769,            0.009769
                   9,            0.043522,            0.042232,            0.010828,             0.58046,             0.57949,             0.54399,             0.23194,            0.046382,            0.026846,            0.021643,            0.009736,            0.009736,            0.009736
                  10,            0.043351,            0.039625,           0.0090617,             0.58656,             0.55568,             0.56577,             0.26884,            0.048281,            0.027735,            0.019141,            0.009703,            0.009703,            0.009703
                  11,            0.042441,            0.039139,           0.0099721,             0.55849,             0.62321,             0.58485,             0.26008,            0.046546,            0.027333,            0.010621,             0.00967,             0.00967,             0.00967
                  12,            0.043159,            0.038526,           0.0095288,             0.66902,             0.52077,             0.60945,             0.27894,            0.048828,            0.027697,            0.017162,            0.009637,            0.009637,            0.009637
                  13,            0.042721,            0.042381,           0.0081011,             0.58965,             0.62397,             0.63152,             0.30851,            0.044873,            0.026482,            0.014145,            0.009604,            0.009604,            0.009604
                  14,            0.042125,            0.038599,            0.010031,             0.63946,             0.59412,             0.62359,             0.28033,             0.04618,            0.026757,            0.024538,            0.009571,            0.009571,            0.009571
                  15,             0.04268,            0.039747,           0.0095441,             0.64002,             0.54907,             0.57771,                0.27,            0.047149,            0.026886,            0.020592,            0.009538,            0.009538,            0.009538
                  16,            0.042983,             0.04041,           0.0088097,             0.53272,             0.62946,             0.58625,               0.266,             0.04703,            0.027326,             0.01764,            0.009505,            0.009505,            0.009505
                  17,            0.042884,            0.039057,           0.0099792,             0.61488,             0.57713,             0.59907,             0.28444,             0.04645,            0.026653,            0.014296,            0.009472,            0.009472,            0.009472
                  18,            0.042306,            0.038951,           0.0087352,              0.6112,             0.54857,             0.57241,             0.26214,            0.046859,            0.027006,            0.024017,            0.009439,            0.009439,            0.009439
                  19,            0.042558,            0.038543,            0.011577,             0.58846,             0.58169,             0.58198,             0.27203,            0.045476,            0.025932,            0.031287,            0.009406,            0.009406,            0.009406
                  20,            0.042545,                0.04,           0.0097546,             0.62674,             0.63707,             0.63005,             0.29629,            0.045528,            0.026512,            0.014522,            0.009373,            0.009373,            0.009373
                  21,            0.042074,            0.038243,           0.0086957,             0.66788,             0.62361,             0.62878,             0.29699,            0.046714,            0.026844,            0.018641,             0.00934,             0.00934,             0.00934
                  22,            0.041576,            0.039841,           0.0091779,             0.63322,             0.58154,             0.59214,              0.2835,            0.047999,            0.026627,            0.018507,            0.009307,            0.009307,            0.009307
                  23,            0.042079,            0.037996,           0.0085372,             0.63171,             0.56008,             0.58811,             0.27724,            0.046664,            0.026382,            0.021331,            0.009274,            0.009274,            0.009274
                  24,             0.04294,            0.041872,           0.0093533,             0.63869,             0.60339,             0.62164,             0.29407,            0.046495,            0.027074,            0.015169,            0.009241,            0.009241,            0.009241
                  25,              0.0426,            0.040321,           0.0099803,             0.63134,             0.61905,             0.64352,             0.31045,            0.045112,            0.025969,            0.011966,            0.009208,            0.009208,            0.009208
                  26,            0.042214,            0.036857,           0.0079491,             0.64693,             0.55277,             0.58291,             0.28221,             0.04649,            0.027155,            0.020592,            0.009175,            0.009175,            0.009175
                  27,            0.041566,            0.038861,           0.0085372,             0.69115,             0.56657,             0.62913,             0.32008,             0.04638,            0.026726,            0.014104,            0.009142,            0.009142,            0.009142
                  28,            0.040255,            0.037609,           0.0080085,             0.62388,             0.60977,             0.61704,             0.27847,            0.046262,            0.027407,            0.015051,            0.009109,            0.009109,            0.009109
