                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.078,                0.83025,                 1.2065,                0.71959,                0.70245,                0.73517,                0.41076,                 1.7466,                 1.1503,                 1.7102,             0.00021677,             0.00021677,             0.00021677
                      2,                  1.096,                0.83036,                 1.2134,                 0.7117,                0.63995,                0.72186,                0.39197,                 1.7998,                 1.3174,                 1.6947,             0.00043802,             0.00043802,             0.00043802
                      3,                 1.1452,                0.86256,                 1.2362,                0.63647,                0.70468,                0.67716,                0.35404,                 1.7735,                 1.2816,                 1.7434,             0.00065817,             0.00065817,             0.00065817
                      4,                 1.1726,                0.87905,                 1.2489,                 0.6688,                 0.5578,                0.61637,                0.31592,                 1.8442,                  1.684,                 1.8017,             0.00066205,             0.00066205,             0.00066205
                      5,                  1.204,                 0.9426,                 1.2805,                0.63923,                0.62824,                0.65956,                0.34486,                  1.787,                 1.5261,                 1.7238,             0.00066205,             0.00066205,             0.00066205
                      6,                 1.2148,                 0.9425,                 1.2795,                0.67514,                 0.6558,                0.66882,                 0.3551,                 1.7879,                 1.4577,                 1.7136,              0.0006604,              0.0006604,              0.0006604
                      7,                 1.2103,                0.95493,                 1.2676,                0.64089,                0.62418,                0.64514,                0.31066,                 1.8406,                 1.6243,                 1.7803,             0.00065875,             0.00065875,             0.00065875
                      8,                 1.2376,                0.96324,                 1.2964,                0.62742,                0.61537,                0.65229,                0.35647,                 1.7659,                 1.4479,                  1.735,              0.0006571,              0.0006571,              0.0006571
                      9,                 1.2075,                0.93334,                 1.2716,                0.61535,                0.68893,                0.65974,                0.34535,                 1.8178,                 1.4446,                 1.7345,             0.00065544,             0.00065544,             0.00065544
                     10,                 1.1849,                0.92584,                 1.2558,                0.74762,                 0.6131,                0.68013,                 0.3582,                  1.787,                 1.4387,                 1.7395,             0.00065379,             0.00065379,             0.00065379
                     11,                 1.1987,                0.93691,                 1.2841,                0.63117,                 0.6482,                0.64393,                 0.3397,                 1.7962,                 1.4962,                 1.7499,             0.00065214,             0.00065214,             0.00065214
                     12,                 1.1786,                0.91013,                 1.2529,                0.67984,                0.62832,                0.69073,                0.38571,                 1.7397,                 1.4959,                 1.7567,             0.00065049,             0.00065049,             0.00065049
                     13,                 1.1994,                0.92302,                 1.2769,                 0.6951,                0.64938,                0.70086,                0.36836,                 1.8066,                 1.2158,                 1.7529,             0.00064884,             0.00064884,             0.00064884
                     14,                 1.1987,                0.93476,                 1.2849,                0.65812,                 0.6763,                0.67432,                0.35783,                 1.7823,                 1.5413,                 1.7184,             0.00064719,             0.00064719,             0.00064719
                     15,                 1.1898,                0.91594,                 1.2679,                0.60246,                0.66631,                0.65546,                 0.3466,                 1.8036,                 1.3458,                 1.7246,             0.00064554,             0.00064554,             0.00064554
                     16,                 1.1918,                 0.9106,                 1.2671,                0.63943,                0.62949,                 0.6543,                0.35595,                 1.7734,                 1.4171,                 1.6856,             0.00064389,             0.00064389,             0.00064389
                     17,                 1.1901,                0.88769,                 1.2694,                0.68497,                0.61974,                0.68061,                0.36478,                 1.8045,                 1.3121,                 1.7424,             0.00064224,             0.00064224,             0.00064224
                     18,                 1.1785,                0.89075,                 1.2621,                0.59397,                0.65139,                0.64559,                 0.3416,                 1.8231,                  1.499,                 1.7472,             0.00064059,             0.00064059,             0.00064059
                     19,                 1.1835,                0.90176,                 1.2638,                 0.6908,                0.57997,                0.66082,                0.34841,                  1.846,                 1.4477,                 1.7914,             0.00063894,             0.00063894,             0.00063894
                     20,                 1.1881,                0.87522,                 1.2755,                 0.6631,                0.58933,                 0.6373,                0.34078,                 1.7745,                  1.645,                 1.7187,             0.00063729,             0.00063729,             0.00063729
                     21,                 1.1724,                0.87388,                 1.2525,                0.61429,                0.67744,                0.65897,                0.35513,                 1.8052,                 1.4988,                 1.7444,             0.00063563,             0.00063563,             0.00063563
                     22,                 1.1647,                 0.8739,                 1.2528,                0.66257,                0.69831,                0.69171,                0.36625,                 1.7663,                 1.2212,                 1.6781,             0.00063398,             0.00063398,             0.00063398
                     23,                 1.1632,                0.87921,                 1.2449,                0.63798,                0.64143,                0.64576,                0.33883,                   1.81,                 1.4911,                 1.7751,             0.00063233,             0.00063233,             0.00063233
                     24,                 1.1702,                0.87229,                  1.256,                0.66895,                0.64982,                0.65799,                0.33926,                 1.7686,                 1.4538,                 1.7896,             0.00063068,             0.00063068,             0.00063068
                     25,                 1.1669,                0.89659,                 1.2579,                 0.6946,                0.68276,                0.70704,                0.37112,                 1.7932,                 1.3109,                 1.7323,             0.00062903,             0.00062903,             0.00062903
                     26,                 1.1617,                0.86198,                 1.2486,                0.69477,                0.65207,                0.67981,                0.34397,                 1.8365,                 1.5137,                 1.7578,             0.00062738,             0.00062738,             0.00062738
                     27,                 1.1644,                0.86559,                 1.2472,                0.67237,                0.65649,                0.68525,                0.36065,                 1.7882,                 1.3986,                  1.758,             0.00062573,             0.00062573,             0.00062573
                     28,                 1.1464,                0.86262,                 1.2481,                0.67799,                0.63578,                0.66182,                 0.3509,                 1.8145,                 1.3092,                 1.7656,             0.00062408,             0.00062408,             0.00062408
                     29,                 1.1653,                0.86619,                 1.2618,                0.72931,                0.58854,                0.68112,                0.36982,                 1.7596,                 1.3049,                 1.7186,             0.00062243,             0.00062243,             0.00062243
